station_code,lat,lng,old_district,old_province,new_district,new_province,region,technician
C.PTH5305,21.446037,105.25264,Phu Tho,Phú Thọ,Phường Phong Châu,Tỉnh Phú Thọ,,
C.PTH5308,21.407013,105.308655,Phu Ninh,Phú Thọ,Xã Phù Ninh,Tỉnh Phú Thọ,,
C.PTH5313,21.50853,105.084564,Ha Hoa,Phú Thọ,Xã Thanh Ba,Tỉnh Phú Thọ,,
C.PTH5314,21.654812,105.205582,Doan Hung,Phú Thọ,Xã Chí Đám,Tỉnh Phú Thọ,,
C.PTH5316,21.309624,105.416672,Viet Tri,Phú Thọ,Phường Thanh Miếu,Tỉnh Phú Thọ,,
C.PTH5317,21.346178,105.39904,Viet Tri,Phú Thọ,Phường Việt Trì,Tỉnh Phú Thọ,,
C.PTH5318,21.333393,105.381767,Viet Tri,Phú Thọ,Phường Nông Trang,Tỉnh Phú Thọ,,
C.PTH5319,21.381527,105.27076,Lam Thao,Phú Thọ,Xã Xuân Lũng,Tỉnh Phú Thọ,,
C.PTH5320,21.335497,105.367455,Viet Tri,Phú Thọ,Phường Nông Trang,Tỉnh Phú Thọ,,
C.PTH5322,21.33457,105.37664,Viet Tri,Phú Thọ,Phường Nông Trang,Tỉnh Phú Thọ,,
C.PTH5325,21.641174,104.936264,Ha Hoa,Yên Bái,Xã Đan Thượng,Tỉnh Phú Thọ,,
C.PTH5326,21.309296,105.598633,Vinh Yen,Vĩnh Phúc,Phường Vĩnh Phúc,Tỉnh Phú Thọ,,
C.PTH5331,21.309147,105.408752,Viet Tri,Phú Thọ,Phường Thanh Miếu,Tỉnh Phú Thọ,,
C.HYE0331,20.61433,106.38279,Quynh Phu,Thái Bình,Xã Quỳnh An,Tỉnh Hưng Yên,,
C.HCM1295,10.761788,106.576607,Binh Tan,Ho Chi Minh,Phường Bình Tân,Thành phố Hồ Chí Minh,HCM,Lê Trần Đại Dương
C.BNI0311,21.158438,106.142754,Que Vo,Bắc Ninh,Phường Phương Liễu,Tỉnh Bắc Ninh,,
C.DLA0240,12.407901,108.170593,Lak,Đắk Lắk,Xã Liên Sơn Lắk,Tỉnh Đắk Lắk,Tây Nguyên,Đắk Lắk
C.HCM1264,10.910141,106.6493,Hoc Mon,Ho Chi Minh,Xã Đông Thạnh,Thành phố Hồ Chí Minh,HCM,Lư Diệu Thuận
C.HNO1920,21.138245,105.796913,Dong Anh,Hà Nội	,Xã Thiên Lộc,Thành phố Hà Nội,,
C.LDO0164,11.6075,108.045998,Di Linh,Lâm Đồng,Xã Di Linh,Tỉnh Lâm Đồng,LDO-BTH,Nguyễn Hải Nguyên
C.HPH0363,21.027391,106.56321,Kinh Mon,Hải Dương,Phường Nhị Chiểu,Thành phố Hải Phòng,,
C.DNI0505,10.987386,106.838097,Bien Hoa,Đồng Nai,Phường Tân Triều,Thành phố Đồng Nai,DNI-BPH,Phạm Quý Bôn
C.TNG5088,22.129379,105.832527,Bac Kan,Bắc Kạn,Phường Bắc Kạn,Tỉnh Thái Nguyên,,
C.TNG5090,21.901131,105.588326,Dinh Hoa,Thái Nguyên,Xã Định Hoá,Tỉnh Thái Nguyên,,
C.PTH7001,21.363316,105.22287,Tam Nong,Phú Thọ,Xã Hiền Quan,Tỉnh Phú Thọ,,
